 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Silver

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    7.906E-03  2.634E-02       7 A        13 A         9 A   
    110 eV    8.291E-03  2.750E-02       7 A        14 A        10 A   
    120 eV    8.660E-03  2.859E-02       8 A        14 A        10 A   
    130 eV    9.014E-03  2.962E-02       8 A        15 A        11 A   
139.999 eV    9.354E-03  3.059E-02       8 A        15 A        11 A   
149.999 eV    9.682E-03  3.151E-02       9 A        16 A        12 A   
159.999 eV    1.000E-02  3.239E-02       9 A        17 A        12 A   
169.999 eV    1.031E-02  3.322E-02       9 A        17 A        12 A   
179.999 eV    1.061E-02  3.403E-02      10 A        18 A        13 A   
199.999 eV    1.118E-02  3.553E-02      10 A        18 A        13 A   
224.999 eV    1.186E-02  3.725E-02      11 A        20 A        14 A   
249.999 eV    1.250E-02  3.883E-02      12 A        21 A        15 A   
274.999 eV    1.311E-02  4.028E-02      13 A        22 A        16 A   
299.999 eV    1.369E-02  4.163E-02      13 A        23 A        17 A   
324.999 eV    1.425E-02  4.288E-02      14 A        24 A        17 A   
349.999 eV    1.479E-02  4.406E-02      15 A        25 A        18 A   
374.999 eV    1.531E-02  4.516E-02      15 A        26 A        19 A   
399.999 eV    1.581E-02  4.620E-02      16 A        27 A        19 A   
449.999 eV    1.677E-02  4.812E-02      17 A        28 A        21 A   
499.999 eV    1.768E-02  4.985E-02      18 A        30 A        22 A   
