 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Aluminum

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    2.496E-02  1.756E-01      12 A        11 A         8 A   
    110 eV    2.618E-02  1.818E-01      13 A        11 A         9 A   
    120 eV    2.734E-02  1.874E-01      13 A        12 A         9 A   
    130 eV    2.846E-02  1.927E-01      14 A        12 A        10 A   
139.999 eV    2.953E-02  1.976E-01      15 A        13 A        10 A   
149.999 eV    3.057E-02  2.023E-01      15 A        13 A        10 A   
159.999 eV    3.157E-02  2.066E-01      16 A        14 A        11 A   
169.999 eV    3.254E-02  2.107E-01      17 A        14 A        11 A   
179.999 eV    3.349E-02  2.145E-01      17 A        15 A        12 A   
199.999 eV    3.530E-02  2.216E-01      18 A        16 A        12 A   
224.999 eV    3.744E-02  2.296E-01      20 A        17 A        13 A   
249.999 eV    3.946E-02  2.367E-01      21 A        18 A        14 A   
274.999 eV    4.139E-02  2.430E-01      23 A        19 A        15 A   
299.999 eV    4.323E-02  2.488E-01      24 A        20 A        15 A   
324.999 eV    4.499E-02  2.541E-01      25 A        21 A        16 A   
349.999 eV    4.669E-02  2.589E-01      27 A        22 A        17 A   
374.999 eV    4.833E-02  2.633E-01      28 A        23 A        18 A   
399.999 eV    4.992E-02  2.674E-01      29 A        24 A        18 A   
449.999 eV    5.295E-02  2.747E-01      32 A        26 A        20 A   
499.999 eV    5.581E-02  2.811E-01      34 A        28 A        21 A   
