 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Boron

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    3.801E-02  4.094E-01       9 A         6 A         4 A   
    110 eV    3.987E-02  4.213E-01      10 A         6 A         4 A   
    120 eV    4.164E-02  4.321E-01      11 A         6 A         4 A   
    130 eV    4.334E-02  4.420E-01      11 A         6 A         5 A   
139.999 eV    4.498E-02  4.511E-01      12 A         7 A         5 A   
149.999 eV    4.656E-02  4.596E-01      12 A         7 A         5 A   
159.999 eV    4.808E-02  4.674E-01      13 A         7 A         5 A   
169.999 eV    4.956E-02  4.747E-01      13 A         7 A         5 A   
179.999 eV    5.100E-02  4.815E-01      14 A         8 A         6 A   
199.999 eV    5.376E-02  4.939E-01      15 A         8 A         6 A   
224.999 eV    5.702E-02  5.075E-01      16 A         9 A         6 A   
249.999 eV    6.010E-02  5.192E-01      17 A         9 A         7 A   
274.999 eV    6.304E-02  5.295E-01      18 A        10 A         7 A   
299.999 eV    6.584E-02  5.386E-01      20 A        11 A         8 A   
324.999 eV    6.853E-02  5.468E-01      21 A        11 A         8 A   
349.999 eV    7.112E-02  5.540E-01      22 A        12 A         8 A   
374.999 eV    7.361E-02  5.605E-01      23 A        12 A         9 A   
399.999 eV    7.603E-02  5.664E-01      24 A        13 A         9 A   
449.999 eV    8.064E-02  5.764E-01      26 A        14 A        10 A   
499.999 eV    8.500E-02  5.847E-01      28 A        15 A        11 A   
