 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Hydrogen

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.0100E-01 g/cm3 = 6.0097E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    5.386E-02  9.995E-01      67 A        17 A        13 A   
    110 eV    5.649E-02  1.023E+00      71 A        17 A        14 A   
    120 eV    5.900E-02  1.044E+00      75 A        18 A        14 A   
    130 eV    6.141E-02  1.062E+00      79 A        19 A        15 A   
139.999 eV    6.373E-02  1.080E+00      83 A        20 A        16 A   
149.999 eV    6.597E-02  1.095E+00      87 A        21 A        17 A   
159.999 eV    6.813E-02  1.109E+00      90 A        21 A        17 A   
169.999 eV    7.023E-02  1.122E+00      94 A        22 A        18 A   
179.999 eV    7.226E-02  1.134E+00      98 A        23 A        19 A   
199.999 eV    7.617E-02  1.155E+00     105 A        24 A        20 A   
224.999 eV    8.079E-02  1.178E+00     114 A        26 A        21 A   
249.999 eV    8.516E-02  1.196E+00     123 A        28 A        23 A   
274.999 eV    8.932E-02  1.212E+00     132 A        30 A        24 A   
299.999 eV    9.329E-02  1.225E+00     141 A        31 A        26 A   
324.999 eV    9.710E-02  1.236E+00     149 A        33 A        27 A   
349.999 eV    1.008E-01  1.246E+00     157 A        34 A        29 A   
374.999 eV    1.043E-01  1.254E+00     166 A        36 A        30 A   
399.999 eV    1.077E-01  1.261E+00     174 A        38 A        31 A   
449.999 eV    1.143E-01  1.271E+00     191 A        41 A        34 A   
499.999 eV    1.204E-01  1.279E+00     207 A        44 A        36 A   
