 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Phosphorus

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    2.273E-02  1.502E-01      19 A        18 A        14 A   
    110 eV    2.384E-02  1.556E-01      20 A        19 A        15 A   
    120 eV    2.490E-02  1.606E-01      21 A        20 A        16 A   
    130 eV    2.592E-02  1.653E-01      22 A        21 A        16 A   
139.999 eV    2.690E-02  1.697E-01      23 A        22 A        17 A   
149.999 eV    2.784E-02  1.737E-01      24 A        23 A        18 A   
159.999 eV    2.875E-02  1.776E-01      25 A        24 A        18 A   
169.999 eV    2.964E-02  1.812E-01      26 A        25 A        19 A   
179.999 eV    3.050E-02  1.846E-01      27 A        25 A        20 A   
199.999 eV    3.215E-02  1.910E-01      29 A        27 A        21 A   
224.999 eV    3.410E-02  1.981E-01      31 A        29 A        22 A   
249.999 eV    3.594E-02  2.045E-01      34 A        30 A        24 A   
274.999 eV    3.769E-02  2.102E-01      36 A        32 A        25 A   
299.999 eV    3.937E-02  2.154E-01      38 A        34 A        26 A   
324.999 eV    4.098E-02  2.202E-01      40 A        36 A        27 A   
349.999 eV    4.252E-02  2.246E-01      42 A        37 A        29 A   
374.999 eV    4.402E-02  2.286E-01      44 A        39 A        30 A   
399.999 eV    4.546E-02  2.324E-01      46 A        40 A        31 A   
449.999 eV    4.822E-02  2.391E-01      50 A        43 A        33 A   
499.999 eV    5.083E-02  2.450E-01      54 A        46 A        36 A   
