 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Si- O

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
99.9999 eV    2.023E-02  2.424E-01      17 A        13 A        10 A   
    110 eV    2.122E-02  2.505E-01      17 A        14 A        11 A   
    120 eV    2.217E-02  2.579E-01      18 A        15 A        11 A   
    130 eV    2.307E-02  2.648E-01      19 A        15 A        12 A   
139.999 eV    2.394E-02  2.711E-01      20 A        16 A        12 A   
149.999 eV    2.478E-02  2.771E-01      21 A        17 A        12 A   
159.999 eV    2.559E-02  2.827E-01      22 A        17 A        13 A   
169.999 eV    2.638E-02  2.879E-01      23 A        18 A        13 A   
179.999 eV    2.715E-02  2.928E-01      24 A        18 A        14 A   
199.999 eV    2.862E-02  3.019E-01      26 A        20 A        15 A   
224.999 eV    3.035E-02  3.119E-01      28 A        21 A        16 A   
249.999 eV    3.199E-02  3.208E-01      30 A        22 A        17 A   
274.999 eV    3.356E-02  3.288E-01      32 A        24 A        18 A   
299.999 eV    3.505E-02  3.360E-01      34 A        25 A        18 A   
324.999 eV    3.648E-02  3.425E-01      36 A        26 A        19 A   
349.999 eV    3.786E-02  3.484E-01      37 A        28 A        20 A   
374.999 eV    3.918E-02  3.538E-01      39 A        29 A        21 A   
399.999 eV    4.047E-02  3.588E-01      41 A        30 A        22 A   
449.999 eV    4.292E-02  3.676E-01      45 A        33 A        24 A   
