 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silver

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    4.503E-03  8.879E-03       2 A         4 A         3 A   
10.9999 eV    4.723E-03  9.393E-03       2 A         4 A         3 A   
11.9999 eV    4.933E-03  9.885E-03       2 A         4 A         3 A   
12.9999 eV    5.134E-03  1.036E-02       2 A         4 A         3 A   
13.9999 eV    5.328E-03  1.081E-02       2 A         4 A         3 A   
14.9999 eV    5.515E-03  1.125E-02       2 A         5 A         3 A   
15.9999 eV    5.696E-03  1.168E-02       3 A         5 A         3 A   
16.9999 eV    5.871E-03  1.209E-02       3 A         5 A         4 A   
17.9999 eV    6.041E-03  1.249E-02       3 A         5 A         4 A   
19.9999 eV    6.368E-03  1.326E-02       3 A         5 A         4 A   
22.4999 eV    6.754E-03  1.417E-02       3 A         5 A         4 A   
24.9999 eV    7.120E-03  1.503E-02       3 A         6 A         4 A   
27.4999 eV    7.467E-03  1.584E-02       3 A         6 A         4 A   
29.9999 eV    7.799E-03  1.662E-02       3 A         6 A         4 A   
32.4999 eV    8.118E-03  1.736E-02       3 A         6 A         5 A   
34.9999 eV    8.424E-03  1.807E-02       4 A         7 A         5 A   
37.4999 eV    8.720E-03  1.875E-02       4 A         7 A         5 A   
39.9999 eV    9.006E-03  1.941E-02       4 A         7 A         5 A   
44.9999 eV    9.552E-03  2.066E-02       4 A         7 A         5 A   
