 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Boron

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.165E-02  1.867E-01       2 A         2 A         1 A   
10.9999 eV    2.271E-02  1.959E-01       2 A         2 A         1 A   
11.9999 eV    2.372E-02  2.046E-01       3 A         2 A         1 A   
12.9999 eV    2.469E-02  2.129E-01       3 A         2 A         1 A   
13.9999 eV    2.562E-02  2.208E-01       3 A         2 A         1 A   
14.9999 eV    2.652E-02  2.284E-01       3 A         2 A         1 A   
15.9999 eV    2.739E-02  2.356E-01       3 A         2 A         1 A   
16.9999 eV    2.823E-02  2.425E-01       3 A         2 A         1 A   
17.9999 eV    2.905E-02  2.492E-01       3 A         2 A         1 A   
19.9999 eV    3.062E-02  2.618E-01       3 A         2 A         2 A   
22.4999 eV    3.248E-02  2.765E-01       3 A         2 A         2 A   
24.9999 eV    3.423E-02  2.901E-01       4 A         2 A         2 A   
27.4999 eV    3.591E-02  3.028E-01       4 A         2 A         2 A   
29.9999 eV    3.750E-02  3.147E-01       4 A         3 A         2 A   
32.4999 eV    3.903E-02  3.259E-01       4 A         3 A         2 A   
34.9999 eV    4.051E-02  3.365E-01       4 A         3 A         2 A   
37.4999 eV    4.193E-02  3.465E-01       4 A         3 A         2 A   
39.9999 eV    4.330E-02  3.561E-01       5 A         3 A         2 A   
44.9999 eV    4.593E-02  3.739E-01       5 A         3 A         2 A   
