 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.0100E-01 g/cm3 = 6.0100E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    3.068E-02  5.114E-01      16 A         5 A         3 A   
10.9999 eV    3.218E-02  5.349E-01      17 A         5 A         3 A   
11.9999 eV    3.361E-02  5.570E-01      18 A         5 A         4 A   
12.9999 eV    3.498E-02  5.778E-01      18 A         5 A         4 A   
13.9999 eV    3.630E-02  5.976E-01      19 A         6 A         4 A   
14.9999 eV    3.758E-02  6.164E-01      20 A         6 A         4 A   
15.9999 eV    3.881E-02  6.344E-01      20 A         6 A         4 A   
16.9999 eV    4.000E-02  6.516E-01      21 A         6 A         4 A   
17.9999 eV    4.116E-02  6.681E-01      22 A         6 A         4 A   
19.9999 eV    4.339E-02  6.991E-01      23 A         7 A         5 A   
22.4999 eV    4.602E-02  7.348E-01      24 A         7 A         5 A   
24.9999 eV    4.851E-02  7.676E-01      26 A         7 A         5 A   
27.4999 eV    5.088E-02  7.980E-01      27 A         8 A         5 A   
29.9999 eV    5.314E-02  8.262E-01      28 A         8 A         6 A   
32.4999 eV    5.531E-02  8.527E-01      29 A         8 A         6 A   
34.9999 eV    5.740E-02  8.775E-01      31 A         8 A         6 A   
37.4999 eV    5.941E-02  9.009E-01      32 A         9 A         6 A   
39.9999 eV    6.136E-02  9.231E-01      33 A         9 A         7 A   
44.9999 eV    6.508E-02  9.641E-01      35 A        10 A         7 A   
