 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Phosphorus

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.295E-02  5.925E-02       5 A         5 A         4 A   
10.9999 eV    1.358E-02  6.242E-02       5 A         6 A         4 A   
11.9999 eV    1.418E-02  6.543E-02       5 A         6 A         4 A   
12.9999 eV    1.476E-02  6.831E-02       6 A         6 A         5 A   
13.9999 eV    1.532E-02  7.107E-02       6 A         6 A         5 A   
14.9999 eV    1.586E-02  7.372E-02       6 A         6 A         5 A   
15.9999 eV    1.638E-02  7.627E-02       6 A         7 A         5 A   
16.9999 eV    1.688E-02  7.874E-02       6 A         7 A         5 A   
17.9999 eV    1.737E-02  8.112E-02       7 A         7 A         5 A   
19.9999 eV    1.831E-02  8.566E-02       7 A         7 A         6 A   
22.4999 eV    1.942E-02  9.097E-02       7 A         8 A         6 A   
24.9999 eV    2.047E-02  9.594E-02       8 A         8 A         6 A   
27.4999 eV    2.147E-02  1.006E-01       8 A         8 A         6 A   
29.9999 eV    2.243E-02  1.050E-01       8 A         9 A         7 A   
32.4999 eV    2.334E-02  1.092E-01       9 A         9 A         7 A   
34.9999 eV    2.422E-02  1.132E-01       9 A         9 A         7 A   
37.4999 eV    2.507E-02  1.170E-01       9 A        10 A         7 A   
39.9999 eV    2.589E-02  1.207E-01      10 A        10 A         8 A   
44.9999 eV    2.746E-02  1.276E-01      10 A        10 A         8 A   
