 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Si- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.153E-02  1.014E-01       4 A         4 A         3 A   
10.9999 eV    1.209E-02  1.066E-01       4 A         4 A         3 A   
11.9999 eV    1.263E-02  1.116E-01       5 A         4 A         3 A   
12.9999 eV    1.314E-02  1.163E-01       5 A         4 A         3 A   
13.9999 eV    1.364E-02  1.209E-01       5 A         4 A         3 A   
14.9999 eV    1.412E-02  1.252E-01       5 A         4 A         3 A   
15.9999 eV    1.458E-02  1.294E-01       5 A         5 A         4 A   
16.9999 eV    1.503E-02  1.335E-01       5 A         5 A         4 A   
17.9999 eV    1.546E-02  1.373E-01       6 A         5 A         4 A   
19.9999 eV    1.630E-02  1.447E-01       6 A         5 A         4 A   
22.4999 eV    1.729E-02  1.534E-01       6 A         5 A         4 A   
24.9999 eV    1.822E-02  1.614E-01       7 A         6 A         4 A   
27.4999 eV    1.911E-02  1.690E-01       7 A         6 A         5 A   
29.9999 eV    1.996E-02  1.761E-01       7 A         6 A         5 A   
32.4999 eV    2.078E-02  1.828E-01       7 A         6 A         5 A   
34.9999 eV    2.156E-02  1.892E-01       8 A         7 A         5 A   
37.4999 eV    2.232E-02  1.953E-01       8 A         7 A         5 A   
39.9999 eV    2.305E-02  2.011E-01       8 A         7 A         5 A   
44.9999 eV    2.445E-02  2.120E-01       9 A         7 A         6 A   
