 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 13, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_Boron.dat

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.010E-03  7.497E-03       1 A         2 A         1 A   
    1.2 eV    5.010E-03  7.817E-03       1 A         2 A         1 A   
    1.3 eV    5.214E-03  8.120E-03       1 A         2 A         1 A   
    1.4 eV    5.411E-03  8.408E-03       1 A         2 A         1 A   
    1.5 eV    5.601E-03  8.682E-03       1 A         2 A         2 A   
    1.6 eV    5.785E-03  8.945E-03       1 A         2 A         2 A   
    1.7 eV    5.963E-03  9.196E-03       1 A         2 A         2 A   
    1.8 eV    6.135E-03  9.438E-03       1 A         2 A         2 A   
      2 eV    6.467E-03  9.894E-03       1 A         2 A         2 A   
   2.25 eV    6.860E-03  1.042E-02       1 A         3 A         2 A   
2.49999 eV    7.231E-03  1.091E-02       2 A         3 A         2 A   
2.74999 eV    7.584E-03  1.136E-02       2 A         3 A         2 A   
2.99999 eV    7.921E-03  1.178E-02       2 A         3 A         2 A   
3.24999 eV    8.244E-03  1.217E-02       2 A         3 A         2 A   
3.49999 eV    8.555E-03  1.255E-02       2 A         3 A         2 A   
3.74999 eV    8.856E-03  1.290E-02       2 A         3 A         2 A   
3.99999 eV    9.146E-03  1.323E-02       2 A         3 A         3 A   
4.49999 eV    9.701E-03  1.385E-02       2 A         4 A         3 A   
4.99999 eV    1.023E-02  1.442E-02       2 A         4 A         3 A   
