 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> April 24, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_DeuteriumTarget

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.0590E-01 g/cm3 = 6.1996E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.210E-02  7.456E-02       5 A         4 A         3 A   
    1.2 eV    1.210E-02  7.702E-02       5 A         4 A         3 A   
    1.3 eV    1.260E-02  7.931E-02       5 A         4 A         3 A   
    1.4 eV    1.307E-02  8.145E-02       5 A         5 A         3 A   
    1.5 eV    1.353E-02  8.346E-02       5 A         5 A         4 A   
    1.6 eV    1.397E-02  8.536E-02       6 A         5 A         4 A   
    1.7 eV    1.440E-02  8.715E-02       6 A         5 A         4 A   
    1.8 eV    1.482E-02  8.885E-02       6 A         5 A         4 A   
      2 eV    1.562E-02  9.200E-02       6 A         5 A         4 A   
   2.25 eV    1.657E-02  9.553E-02       7 A         6 A         4 A   
2.49999 eV    1.747E-02  9.870E-02       7 A         6 A         5 A   
2.74999 eV    1.832E-02  1.016E-01       8 A         6 A         5 A   
2.99999 eV    1.914E-02  1.042E-01       8 A         7 A         5 A   
3.24999 eV    1.992E-02  1.066E-01       9 A         7 A         5 A   
3.49999 eV    2.067E-02  1.088E-01       9 A         7 A         6 A   
3.74999 eV    2.139E-02  1.108E-01       9 A         8 A         6 A   
3.99999 eV    2.210E-02  1.127E-01      10 A         8 A         6 A   
4.49999 eV    2.344E-02  1.161E-01      11 A         9 A         6 A   
4.99999 eV    2.470E-02  1.191E-01      12 A         9 A         7 A   
